5084149	851
5084151	851
5084152	851
5084153	851
5084154	851
5084156	851
5084157	851
5084158	851
5084160	851
5084161	851
5084163	851
5084164	851
5084165	851
5084167	851
5084168	851
5084169	851
5084170	851
5084171	851
5084173	851
5084174	851
5084177	851
5084178	851
5084179	851
5084180	851
5084181	851
5084182	851
5084183	851
5084184	851
5084186	851
5084188	851
5084189	851
5084190	851
5084192	851
5084193	851
5084194	851
5084197	851
5084198	851
5084199	851
5084200	851
5084201	851
5084202	851
5084203	851
5084205	851
5084206	851
5084207	851
5084208	851
5084209	851
5084210	851
5084211	851
5084212	851
5084213	851
5084214	851
5084215	851
5084216	851
5084217	851
5084218	851
5084219	851
5084220	851
5084221	851
5084222	851
5084223	851
5084224	851
5084226	851
5084227	851
5084228	851
5084229	851
5084230	851
5084231	851
5084232	851
5084233	851
5084234	851
5084235	851
5084236	851
5084237	851
5084238	851
5084239	851
5084240	851
5084241	851
5084242	851
5084078	851
5084225	851
5084113	851
5084150	851
5084111	851
5084037	851
5084166	851
5084075	851
5084191	851
5084159	851
5083990	851
5084009	851
5084162	851
5084187	851
5084204	851
5084195	851
5084155	851
5084062	851
5084069	851
5084070	851
5084098	851
5084106	851
5084115	851
5084116	851
5084147	851
5084185	851
5084172	851
5084249	2460
5405303	246
5399728	1688
5084290	467
5084323	467
5084338	435
5084356	112
5084408	56
5084412	1268
5084448	435
5084558	990
5084566	990
5084578	234
5084687	588
5084718	851
5084726	851
5084734	851
5084742	851
5084743	234
5084758	467
5084792	467
5084806	29
5460333	1109
5257520	79
5084981	1387
5460332	1109
5084987	851
5085106	467
5085168	2461
5257519	79
5085220	851
5257518	79
5257517	79
5085340	61
5085369	2323
5085370	2323
5085371	2323
5085372	2323
5085373	2323
5085374	2323
5085375	2323
5085377	2323
5085378	2323
5085379	2323
5085380	2323
5085381	2323
5085382	2323
5085383	2323
5085384	2323
5085385	2323
5085387	2323
5085388	2323
5085389	2323
5085390	2323
5085391	2323
5085418	2323
5085419	2323
5085420	2323
5085421	2323
5085422	2323
5085423	2323
5085424	2323
5085425	2323
5085426	2323
5085427	2323
5085428	2323
5085429	2323
5085430	2323
5085431	2323
5085432	2323
5085433	2323
5085434	2323
5085435	2323
5085436	2323
5085437	2323
5085438	2323
5085439	2323
5085440	2323
5085441	2323
5085442	2323
5085443	2323
5085444	2323
5085445	2323
5085446	2323
5085447	2323
5085448	2323
5085449	2323
5085450	2323
5085451	2323
5085452	2323
5085453	2323
5085454	2323
5085455	2323
5085456	2323
5085457	2323
5085458	2323
5085459	2323
5085460	2323
5085461	2323
5085462	2323
5085463	2323
5085465	2323
5085506	1677
5085577	2323
5085578	2323
5085579	2323
5085580	2323
5085581	2323
5085582	2323
5085583	2323
5085584	2323
5085585	2323
5085586	2323
5085587	2323
5085588	2323
5085589	2323
5085591	15
5085915	2462
5085951	2344
5085958	2463
5257516	79
5086149	467
5086185	467
5086205	1489
5086206	467
5086246	851
5086251	1014
5086477	768
5086503	15
5086549	1489
5086569	15
5086604	2464
5086717	2465
5086835	2465
5086862	15
5086899	2466
5086923	148
5086927	1084
5086965	1117
5087077	1084
5087129	1084
5087143	1387
5087169	1387
5087176	1084
5087184	1387
5087211	1387
5087287	1387
5087567	467
5087637	467
5087656	1387
5087709	467
5087750	41
5087769	467
5087792	902
5087786	902
5087784	902
5087780	902
5087783	902
5087785	902
5087789	902
5087782	902
5087790	902
5087788	902
5087787	902
5087781	902
5087791	902
5257515	79
5218003	1217
5087920	41
5218002	1217
5088024	56
5088115	2447
5088179	2447
5088297	2447
5088396	2447
5088455	2447
5088551	2447
5088582	2447
5088616	442
5088626	2447
5088690	75
5088729	129
5088767	2344
5088812	2447
5088871	435
5088922	2344
5088972	2447
5088978	2085
5089045	2447
5089237	841
5089271	129
5089426	435
5089512	15
5089593	2344
5257514	79
5089627	851
5089628	851
5089629	851
5089631	851
5089634	851
5089636	851
5089637	851
5089640	851
5089644	851
5089650	851
5089652	851
5089662	851
5089663	851
5089664	851
5089665	851
5089633	851
5089691	435
5089696	2447
5089797	435
5089810	851
5089823	467
5089938	467
5089975	435
5090028	435
5090080	2447
5090143	664
5090157	2447
5090162	15
5090196	2447
5090254	664
5090285	2447
5090329	2447
5090478	2447
5090536	2447
5090605	2447
5090708	851
5090712	2447
5090718	851
5090739	851
5090757	851
5090760	2447
5090768	2447
5090785	851
5090802	2447
5090896	2447
5090905	2447
5090906	1117
5090913	2447
5090940	851
5091006	2447
5091040	2447
